attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
56,30,700023,202553,50624,105162,139242,89920,18529,11555
61,56,340795,31484,40098,13898,12172,14957,2116,1633
61,56,571402,45358,4524,12821,7283,7866,1521,497
70,54,543555,155485,38129,66515,34553,22690,3998,1830
70,54,382116,29517,16722,5461,11997,4650,963,571
70,54,710546,382520,99990,127397,42065,19496,2752,3302
70,54,1495871,121743,24926,13603,12256,29472,2725,1599
70,54,980836,150877,64933,151733,80886,50236,12374,3792
94,69,758319,65350,28780,16087,20728,24566,4130,266
100,64,1570443,181417,24679,85468,27720,38554,14622,3417
100,53,872530,23060,23333,23541,28028,18926,966,679
77,50,1986342,205455,80192,35018,26867,21723,4936,2748
64,34,528651,316800,15320,38710,54988,33044,9447,3085
75,14,969983,362640,29443,39000,110814,118154,4001,3217
60,10,856142,92007,37540,41488,63868,16287,5903,2082
83,4,277915,100942,32689,81018,224153,77232,7623,3187
83,34,1465349,93019,14863,148856,116464,25149,6275,5158
75,60,1704955,95995,113103,22705,126074,32977,6763,3635
75,60,1331641,161153,36628,28305,9029,6017,1019,423
75,60,250641,23162,8994,7774,2387,2475,654,296
75,60,945153,27489,12602,34644,8886,11224,2875,727
57,57,570118,31579,2227,10039,10683,3299,844,504
69,50,1565131,309454,41734,156146,69612,108637,14835,9007
75,51,1006552,22113,12245,11397,7503,9244,818,668
63,60,1311252,170295,75548,145179,104840,25818,9062,2370
63,60,495368,35949,3779,12927,5696,3753,1238,493
74,84,3507140,202046,103665,215998,41885,77550,9712,3245
47,61,1165575,293202,17955,21088,71755,11679,2929,1530
29,69,1518127,37493,37928,12102,8654,6380,948,1107
29,69,651388,130981,11870,84489,34032,45749,9855,3224
29,69,456748,30543,20753,15148,11522,4723,801,285
47,69,759442,95314,69385,52128,24482,48981,6469,1252
51,63,435537,16580,17128,6734,7612,7267,1161,594
64,78,279609,75275,10009,13364,4233,8240,1504,346
56,56,1220311,57590,10921,15186,8513,6247,1727,713
27,51,405597,125560,58977,15799,15622,6625,3031,1149
16,61,1749938,72523,25493,18585,9321,4099,720,751
1,53,517242,462772,155005,39431,32577,30146,3912,2466
1,75,160449,6786,22484,10260,2072,2335,732,539
