attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
23,69,656708,120599,62541,70896,23499,14308,1595,2008
37,80,470996,149006,113568,76840,14940,31657,5534,1378
43,78,604929,3493,6213,28201,7729,3914,1560,475
43,78,501834,41229,10164,10909,10291,9562,1443,841
43,78,197149,5208,2332,2924,2579,2775,1132,345
51,88,889690,147851,163585,146152,117474,85138,9975,7797
51,88,526782,45859,12878,17433,20362,20414,16594,15457
51,88,1392205,259155,394136,254817,180295,40631,6225,2792
60,78,3440744,213399,90716,51953,59853,30406,15265,8444
60,78,778791,83236,18484,14195,8301,7246,2102,289
60,78,659465,29095,12347,14062,7775,2598,958,371
60,78,660242,22582,5510,10242,32405,27641,8623,1299
60,78,2369422,166178,8463,18580,80371,131208,75889,33042
60,78,658845,38762,9505,12835,13881,7927,1082,570
60,78,577888,21062,17264,5838,9973,5934,1532,775
60,78,898736,38261,16880,5754,19302,17727,12033,8086
60,78,1990808,59696,15469,9152,7564,6794,934,527
60,78,216021,79260,17384,24470,10354,17832,2661,1832
60,78,112055,13693,2390,3586,1645,1601,614,159
80,78,632779,11546,17484,17544,8459,17582,1118,411
80,78,1643088,486672,12592,105947,57772,55421,29493,5013
80,78,451404,81406,26075,30628,28372,21297,4067,8097
77,43,969761,92074,12836,8564,31454,10069,1965,1073
81,44,870562,24811,50433,39117,21193,28730,4740,2580
81,44,624050,535836,71761,37023,80198,28579,3102,2307
100,50,952207,106134,99665,23794,33416,68261,5426,3087
67,27,900823,136940,20458,6636,11495,7477,2583,1003
54,26,1115733,262890,13865,22542,9518,11842,1496,983
44,17,804782,80736,29856,43212,15244,23426,8187,2827
43,21,1111731,69043,48247,44489,11779,39885,5320,1150
56,24,1500764,753449,148031,48828,43088,101247,10139,2354
66,43,1688821,144535,62421,57725,30222,22314,7877,2763
57,63,335362,11236,30182,77083,4802,10583,6557,1070
35,61,710553,75657,54920,19837,19285,7511,2540,1913
20,75,361737,163069,101807,109503,68064,15127,3477,1109
27,78,373313,60904,81403,18943,20458,20708,1546,1383
24,38,415719,170584,3792,21720,17593,12771,2578,984
47,30,2697210,375429,182499,89716,93098,126686,36446,4998
57,27,502207,53770,31924,23297,41684,8591,2454,3125
44,17,178983,343820,104540,56044,35383,29985,8106,4263
40,41,247093,129556,89355,122134,57710,16369,4101,4848
20,54,110434,36406,43147,27151,7321,6525,3911,2060
24,69,4078,11898,45053,38157,14759,11230,6722,1257
29,81,332601,36952,9104,67274,23575,7972,2510,1322
53,80,146942,30684,16671,31881,6108,17211,2304,2313
66,80,38506,10576,6018,44488,19667,9082,4590,1168
75,75,32831,9203,6161,29556,5805,8187,2512,2810
77,87,38033,8422,67211,21191,12684,7447,4320,4005
47,100,29785,13649,90602,65923,12090,5411,3854,682
40,97,187709,37458,9605,23894,14381,10798,3359,586
43,74,50970,61187,19062,11532,16782,8824,3853,1831
63,40,94180,110791,22391,14208,33103,16046,3451,1693
64,29,14075,14750,9648,33754,19614,9035,2623,3078
70,40,39499,16309,40449,24305,13046,17393,2514,5621
53,60,4672,74257,102810,87569,11185,7984,2833,1822
37,87,5388,31638,107753,26213,14423,7158,1987,1268
34,75,488810,196923,32368,53954,19875,30737,5576,2286
13,63,126569,133737,33499,50773,28832,14298,9505,2704
30,50,283854,103250,44692,59319,38940,19748,8071,5362
41,27,143636,178803,46975,36747,12651,23244,5891,2056
35,41,124876,47972,42434,44758,26604,10885,7762,2541
27,41,164742,53537,16151,18820,8070,3530,933,628
27,51,593355,33277,31272,35167,8784,9285,6994,2299
23,56,140146,43277,26206,12978,11726,4254,1669,315
29,43,674921,114885,41519,10550,18282,18647,8393,3392
21,53,402957,113693,126364,68079,21986,3959,4385,1490
27,44,483890,66723,32595,53631,31279,18539,4080,2186
35,63,11545,20855,55676,113198,18635,12005,3529,1665
35,67,26536,59859,25648,16177,14361,8421,3605,5225
