attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
90,48,261343,25916,2025,3915,992,1770,273,218
77,54,1306522,38829,9738,6961,7450,2177,1397,531
74,56,1236018,73808,11035,20182,28448,8189,4267,1247
93,66,1823941,66522,35992,9765,11989,11785,1505,1467
93,66,1090845,99052,25399,34904,18704,28705,4658,1557
94,56,484574,74302,2455,8398,16366,7385,1606,803
94,56,1949393,186581,27204,17902,43472,11590,5835,2316
94,56,1381326,23599,4368,17889,25499,10655,7985,2745
94,56,2325711,220098,197258,200249,293148,242532,37405,43288
100,54,272991,124487,20167,14759,32731,10598,3650,985
100,47,118860,131187,16294,23396,39716,37051,4817,1017
100,48,894935,22116,4522,16323,5750,5766,2067,489
100,60,949652,31125,17014,2960,14161,8791,2838,1719
91,53,1587765,632376,37203,30351,29403,21588,10649,17727
87,61,197078,91256,41211,27681,35169,23137,30137,24634
88,64,304134,63917,9756,78113,11732,25257,29723,1570
91,61,293624,85625,4629,31650,12469,33519,26610,17345
100,78,13317,39079,5794,42188,12495,34913,13297,33146
100,60,502592,201889,5538,13873,34234,19595,6721,691
90,53,1827312,100363,16640,42685,14857,10850,2427,1559
64,57,245718,43592,7993,18248,9937,4451,3031,913
38,63,519535,27948,6950,28531,6078,3559,1009,752
43,83,177136,22997,8721,10940,10033,5357,937,1080
38,70,2287105,600841,23210,67516,48651,31457,11851,2911
48,70,1037864,51089,10787,33089,35958,11920,4749,1001
57,64,1422600,46466,25034,17135,19791,10882,1038,530
67,60,2390123,106316,48702,60299,232007,59834,19750,1935
67,60,1406997,91776,6050,102586,68050,197892,13335,5686
83,70,893151,511762,252869,136683,234590,138736,48895,14656
83,70,41523,16569,5594,2231,3659,2483,2253,1718
83,70,0,1,0,0,0,0,0,0
83,70,1373762,265689,5678,66449,23749,24764,8307,2301
83,70,805214,18942,658,2016,3640,4484,1019,726
83,70,334647,24175,10144,6155,5908,6399,2347,665
83,70,1546431,444123,9754,92974,151560,103081,16887,8012
83,70,516170,380186,204735,132209,164259,100724,14959,6729
83,70,2427502,642937,30590,330662,349625,289187,106439,54756
83,70,1940152,311128,55660,66921,38165,48100,17193,5112
74,57,292768,35162,1661,3698,7011,2205,903,190
75,63,672947,20174,15244,15739,14520,7030,1588,846
77,61,868865,953384,70318,245870,54616,390171,55923,25648
57,50,588148,421051,25825,50954,61087,20754,4524,4012
57,50,920794,122023,6330,71622,130454,34634,15868,14884
57,50,2477125,394293,21220,23764,37910,42059,7740,1404
83,53,1172913,86210,13505,58842,252467,72104,21377,11880
87,48,1706629,222721,49362,122594,70891,71355,34029,9817
66,56,1624920,223725,48045,97387,41835,22550,10437,2755
75,67,479853,70223,43035,4418,14783,8647,3868,1994
75,67,709962,21028,33462,15604,15929,18119,1849,1247
56,60,748662,122105,3237,10062,20274,13543,9869,4488
56,66,252481,26514,15817,17865,6033,10571,8943,2738
70,53,180872,20117,1224,3250,5814,5543,6553,3167
83,53,115053,67922,31526,24379,14360,24815,12306,15820
83,53,1745923,35497,39403,29035,35733,6145,2938,1021
83,53,627576,52331,7314,20718,11758,8870,2818,1306
84,75,1226585,718646,294794,480290,271133,169340,13763,13321
87,81,288458,9663,5370,5111,6830,3966,4503,3874
87,75,312054,61534,10106,10065,10961,15114,27275,12687
88,70,109272,105195,10247,65661,28196,24671,13852,6273
90,66,410468,29541,11943,21920,10362,29161,19750,11950
84,66,417634,7367,1711,401,1080,1362,284,382
84,66,328802,10471,2522,5810,18169,10507,1242,183
74,60,82222,46966,6713,5191,1734,3333,1382,374
66,57,141828,19233,4179,2468,2478,1388,711,310
66,57,801826,17694,6215,6994,2331,1984,478,727
44,54,786318,44750,7483,13741,10910,5952,8052,3709
35,50,766521,107000,9458,10413,6809,7345,6495,2877
44,57,2464029,121950,49758,40922,45151,24856,10995,4357
61,57,1762713,467793,70111,120639,22330,140546,71717,11747
63,56,501045,102608,11328,20952,13389,12867,7820,5656
69,63,479016,224514,11459,80944,18847,31753,11686,23510
54,57,1146043,868699,117417,138306,32012,45509,15218,12576
48,61,2376678,521945,128896,137268,32504,94419,52515,34980
47,75,195596,42640,27710,22049,5694,7464,4862,2160
61,69,1533810,244881,58218,22525,30894,104401,23741,12975
61,69,785672,20316,10531,13667,4805,5224,1674,842
61,69,599062,11742,6364,1288,1852,1992,469,61
69,74,108788,20770,2145,8940,4168,2329,3176,1625
75,70,867534,106042,28142,27048,25690,24694,7177,3825
69,67,48477,9644,2576,5328,945,1009,583,483
63,83,447685,23063,17143,14797,2211,11945,4778,4465
51,74,408012,171918,15013,11825,11616,6024,9826,5371
30,75,1470155,383942,116101,80871,26543,18882,42542,15658
34,78,119618,15833,16640,3788,2277,2191,2152,855
20,70,1224323,185815,85112,12741,21536,21652,24211,20229
21,63,870819,164672,20152,9050,4587,9658,4694,6457
8,41,1781650,825940,66164,33089,17184,20751,31293,19048
7,37,562394,131154,7680,32804,16373,10970,11955,3753
3,37,2123835,677063,48217,69733,6173,6768,17539,7642
7,41,231925,15979,1574,3168,1414,1142,265,477
24,51,648137,25390,3694,9329,5997,3141,1789,469
37,66,1966788,50881,73816,35866,33001,20497,6200,1514
