attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
11,37,99823,167426,32635,38062,25144,16889,6073,2445
4,14,455680,45959,409,14360,11913,7445,1739,451
13,48,224844,30736,16840,8975,9331,7143,1430,1312
13,63,2266538,30687,22134,11111,5913,3938,524,199
16,61,1466946,85008,8160,15957,13473,14830,3054,1150
1,48,156725,8846,1307,3531,1688,740,853,123
1,40,265090,41649,9269,11631,23556,1878,703,500
7,16,579416,33978,11496,2113,19475,10042,3306,1436
4,50,283730,124583,51711,37775,22286,9510,3083,2021
20,57,197773,22117,2799,11520,2629,3123,1028,631
1,83,138786,72564,80173,30289,21512,10992,11712,2350
16,69,155348,50153,13103,34028,12536,14156,3349,2926
21,70,79555,24481,7482,11154,4840,2536,500,562
24,88,222621,22094,15873,30976,7724,6337,2463,1024
10,100,569133,21947,44267,8072,2248,3727,590,698
7,100,244344,47144,25917,35758,10425,4886,817,1126
1,100,1611845,132578,86856,58161,4728,12847,1970,2516
1,100,950971,34924,19347,102688,31952,10390,5082,1583
1,87,632459,71088,14994,22666,23965,5317,7230,1923
4,94,113197,48263,52394,87711,6665,15548,3557,2126
1,93,64892,124113,115538,27366,51063,6190,3220,1655
14,100,381120,11579,36911,59785,11094,7333,1907,2393
11,83,1148120,153302,79360,27991,8791,14624,3982,3099
16,37,760189,75834,3619,6456,4727,8244,1179,382
3,26,507228,61640,101734,87561,64697,3333,3337,1645
1,10,530143,288219,23507,36997,38525,7945,7312,2953
3,17,616196,50877,17834,6770,7492,3146,642,498
3,38,1254264,142273,32841,77330,22223,18857,1830,1716
17,40,282811,47421,85866,11162,4794,7866,2747,2108
24,60,130359,60296,49094,48433,34349,6984,2190,1595
40,69,69219,26721,18335,16185,10258,9698,2214,1406
47,93,7565,20673,18641,97958,4082,10509,3014,1617
47,100,18376,25989,34450,40046,3814,4553,3411,2316
37,100,19261,32298,42988,38112,11445,7289,2067,912
41,91,71261,72814,16798,23598,12365,15988,2532,1713
30,67,148203,61407,23488,11359,3073,2986,537,428
38,57,419823,45910,55830,11150,21895,8633,2130,1294
40,66,3992,11305,51277,63809,13639,10898,1448,1630
37,87,6440,12536,52442,39191,27285,10226,5448,2016
57,100,15274,20449,33539,18422,10310,11252,3317,871
67,87,2395,13028,19608,37096,20590,14379,3653,1378
74,88,25187,30372,47438,69340,9758,20933,1951,1415
74,88,34533,23326,32248,18273,17496,9689,2525,1886
69,83,19536,11445,18002,9616,15440,3945,2510,1138
60,90,19857,13118,3602,53384,8671,6278,1915,1927
60,88,29511,12386,34700,33332,19626,10748,2853,1745
47,91,17600,44775,60571,20815,6297,4806,2927,2432
27,84,142067,171517,69788,19134,13683,5669,2158,1115
26,83,15014,28191,62971,12230,8164,7424,1871,1823
23,80,43354,48672,45909,71798,31008,16098,3552,2294
38,70,10109,17934,19255,10102,18673,6787,1123,803
51,77,35345,25819,7350,40211,40004,5718,2476,1163
50,83,6236,5056,119964,31830,23343,8902,2099,1350
43,91,21781,16355,79469,19178,8088,6306,4087,1195
48,88,5965,8214,11515,5426,14395,6493,2708,1633
48,100,5575,29271,79455,13132,3479,8363,2422,2945
44,100,11269,17079,49974,41781,7659,5107,2640,1196
50,93,24219,14312,13887,55208,21496,7221,3410,1389
37,100,16339,6138,7465,23079,3642,2719,3279,1026
51,90,5685,14956,2711,12610,12457,8657,1961,1040
61,67,11355,46909,5343,34416,10682,8485,2050,1896
57,69,7066,18260,44427,20556,10956,5735,5229,1350
64,74,3319,7671,25994,55579,6097,11296,2555,2300
50,96,7994,16608,59937,48741,7737,8772,3025,1492
41,100,9565,13410,32599,19003,4263,3520,2432,1870
44,96,8722,14684,3662,17673,1135,7931,1938,1110
56,94,10044,5937,26997,20461,8468,8978,3401,668
64,84,13718,17295,58881,9606,19428,6646,1016,884
61,97,3264,16488,25607,56948,1849,6879,2148,2548
44,100,6212,10926,35705,45225,12518,4710,4414,2302
23,100,2761,39331,11477,82264,8438,3569,1986,2375
29,100,7829,7239,15207,22434,8946,5631,2371,1061
21,100,6631,11570,21918,79198,13145,3707,2868,2357
29,97,6473,37325,15700,35799,13131,8640,4634,1359
47,100,22773,4432,15390,35805,10417,6370,1524,1104
44,87,4206,23966,9071,19437,15495,6052,4273,1375
57,75,7374,12342,9838,20813,6112,4791,2464,2099
67,63,3082,32719,5794,18403,21214,14933,1843,951
74,47,22281,9027,11406,8819,16904,5410,899,732
78,48,22133,23328,14631,17329,16373,9799,2688,1282
78,60,8560,14564,34211,67517,2696,12871,2005,1228
63,78,5309,24015,44539,60662,31273,10193,1122,1900
63,93,30518,8750,15266,30903,7345,8426,2586,1286
60,93,10795,19897,21103,6314,13985,6474,3451,2863
48,84,22501,47472,61291,37880,6800,4633,1697,1126
27,90,29194,99873,124937,17566,15357,6206,2907,1071
27,100,4078,15002,17796,53738,10812,11066,3993,1215
37,100,12040,8002,13957,41279,7606,4826,2908,1905
38,84,1492611,150261,76611,44929,28927,26603,6959,1671
38,84,242793,13844,7187,45231,43436,16440,4121,7213
38,84,315029,21507,4849,7095,4503,4858,1587,375
38,84,1435292,473216,92303,83675,189668,90116,29533,9203
38,84,583691,40609,21111,16248,13928,19764,16228,5309
