attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
84,47,20208,19722,3508,3488,9370,1583,4912,714,B
74,50,10330,9457,7106,13640,7371,2852,1716,1451,B
67,60,21688,15905,13973,16992,1782,4896,3445,949,B
57,53,1918193,175709,38787,54027,57498,12803,5874,1653,B
61,54,65417,55562,10270,10920,5497,7319,2626,3671,B
61,53,73164,14511,4080,13454,3947,3267,2161,2263,B
61,51,38251,16644,10227,20017,4549,4719,1445,1233,B
69,64,2246,4085,8389,18639,4984,4159,1188,1299,B
77,69,14393,7283,4536,5862,3467,3987,1250,863,B
75,67,15387,20528,11623,3861,6575,2344,2449,941,B
70,66,35855,26957,11732,29302,6436,5229,2375,2098,B
61,54,98390,26215,7775,4954,6305,1395,1285,1571,B
61,53,7268,22601,9182,12439,5304,10863,2035,1443,B
64,53,3135,18221,1753,11189,1281,3226,1769,2712,B
67,51,15388,18090,17212,3101,2051,4363,1532,3374,B
80,51,8154,16207,2592,10553,9277,4036,2869,1167,B
66,50,8749,47350,13819,7634,9702,3268,2154,3265,B
64,54,6706,9519,5140,14959,3739,3021,2051,1117,B
77,50,9082,2927,1709,8140,12162,6061,660,1503,B
75,48,55352,57838,18276,4964,9875,9659,3793,3199,B
75,60,44374,14185,14645,23569,5160,2317,1625,899,B
67,57,14147,11979,13970,4554,6527,1402,2295,1525,B
51,67,12647,13619,17030,35136,8234,4601,1857,1444,B
53,75,27642,9651,8834,10555,8039,4418,971,2208,B
61,66,9099,22003,10084,13937,12156,6364,2797,1733,B
70,56,7061,14913,3244,2296,3781,3152,4157,1531,B
83,44,5210,15402,4530,4162,3142,6031,2565,907,B
78,48,11661,20473,10549,25679,2637,3977,1888,1331,B
83,38,22630,31173,2441,5673,13233,9651,1886,2053,B
80,44,3403,22359,10561,11318,6005,4366,2826,1149,B
