attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
43,69,50623,29707,14410,7314,4365,3229,1699,3527,L
60,74,6623,17230,3145,13188,2093,4048,4802,1493,L
69,69,33102,14869,6583,4286,9633,9195,1283,967,L
87,77,2955,7743,10905,9481,3897,6818,1730,1105,L
87,53,13741,48770,3661,11169,2281,6420,1328,1557,L
100,43,39895,12966,2028,4547,5259,8152,3407,1652,L
90,47,17579,25407,9654,4948,3901,5433,526,1711,L
80,44,9244,23491,4603,22214,6302,4640,3087,2392,L
84,53,12396,22533,15273,5689,5994,7055,2265,1340,L
61,61,20985,26288,8466,11839,3547,2761,3836,2219,L
57,60,40223,36568,8071,7277,1197,5576,1035,1212,L
64,69,24933,4417,15967,12152,2627,5801,1076,892,L
64,60,22790,21775,6930,494,4660,4290,2711,1640,L
69,40,72609,47758,755,3205,2004,4501,1992,1854,L
64,56,49055,12147,19286,12858,3161,3060,1917,1314,L
70,51,86685,5581,1371,18083,1948,7788,1952,1499,L
70,60,11450,42947,4279,22828,3718,9315,956,742,L
66,93,10085,6951,6166,37514,8720,3272,1441,2067,L
70,91,4366,14995,15039,27240,4900,5693,2314,1664,L
64,93,4724,5153,4222,15791,3675,4657,1665,1726,L
57,100,3662,15338,22327,16833,15221,3848,3527,713,L
77,88,23049,6667,2181,8160,5450,4691,6062,2990,L
74,81,9914,14848,17402,13516,8279,4634,2604,1800,L
90,63,11523,17143,272,4264,3995,6646,1516,1511,L
81,70,9721,9672,8075,15068,1004,4733,2514,2273,L
69,57,22202,29894,4774,6423,8324,2551,1650,1642,L
78,57,18389,13410,6997,29006,3276,10788,2458,1536,L
100,14,151383,52613,11762,25052,10145,15254,2287,1445,R
88,34,191010,53864,61936,13042,16269,5947,6598,562,R
56,35,476784,58876,11945,5754,6816,2098,1875,566,R
16,29,418648,208639,45627,41219,23983,6922,4330,3354,R
7,20,426168,74624,21826,3553,11248,9340,2791,2804,R
23,10,29540,20175,9484,4797,2057,4223,5631,1682,R
26,13,583143,108875,13374,29180,16639,5974,15062,4327,R
66,21,36196,12034,3954,7479,1086,7332,2709,1637,R
54,35,37541,60917,17230,24450,3041,4103,2058,2142,R
60,57,138613,11064,26219,15750,3460,7842,2827,3503,R
77,70,23544,22032,6790,14558,5362,5064,1830,3607,R
56,75,5499,14208,2731,12016,3704,2669,4603,1411,R
70,61,54293,23591,2954,8238,7728,4325,1320,1758,R
81,41,14973,5736,3445,4050,3386,3594,3589,1499,R
77,50,29378,12193,4056,18131,3252,3042,2284,3347,R
69,60,3806,14034,5896,20680,4905,2344,4330,4080,R
81,57,59742,14155,985,5144,1976,4966,4038,2710,R
63,66,17590,15821,7432,15719,3624,3475,2270,1847,R
87,67,32148,6646,8817,8662,2912,2496,2981,2103,R
53,94,55046,26457,4865,37764,3824,2008,2200,1741,R
51,87,64935,47272,11628,21468,4629,5802,2035,3811,R
48,74,22462,14809,3986,4662,2144,4144,2309,1831,R
47,57,22536,15671,4565,7945,1996,2567,4301,2768,R
47,40,75759,62676,11560,23292,11343,2548,1984,2913,R
35,37,91178,32456,11809,6658,5471,1781,3584,879,R
40,26,44724,5205,1362,6210,22259,3559,1830,1019,R
23,34,115918,30126,6560,26832,2923,2295,2658,893,R
51,53,7420,6284,10354,14436,6098,5142,1495,3928,R
66,56,104274,27441,13088,10716,2243,5066,2593,1678,R
70,57,65106,56929,11312,16260,8451,6193,2223,2034,R
66,56,9679,15202,510,32496,8632,5700,2294,1696,R
61,75,45714,6065,17445,15495,7859,2714,2300,822,R
56,70,14018,28367,12307,7731,6132,5583,4422,2673,R
63,93,2543,11552,23655,7602,7932,5001,2535,2502,R
57,88,10154,18033,14790,11429,5868,3810,3288,1633,R
69,88,22849,13253,8762,36524,1142,8736,2008,2548,R
64,97,15302,28441,2079,27573,3138,4969,1588,697,R
53,63,107447,85824,5640,10780,3452,6081,1791,1023,R
60,60,46484,48545,21303,29824,2368,13398,2042,1858,R
51,30,40024,48301,19063,4917,6486,5980,2206,1098,R
63,23,8943,20557,7152,12970,13113,7106,1928,1446,R
66,57,9993,9644,13823,16185,6087,2940,1137,4189,R
53,63,52219,37562,17855,35086,10382,5029,1553,2730,R
66,77,11914,16457,12007,11798,2326,8009,1131,1015,R
67,78,19110,4818,1349,13969,3768,5156,1130,900,R
67,81,10043,17639,7256,18948,2640,2235,1559,1024,R
63,70,11620,17087,2212,11073,7006,4560,963,1287,R
69,61,2349,5412,2324,4868,4940,3392,2568,2010,R
81,70,27505,14094,4875,10627,6083,2221,1382,1155,R
83,87,5537,5652,11904,27458,3464,3943,2541,1157,R
66,100,4073,8435,15292,14085,5241,3388,1179,1461,R
61,93,15663,7982,17717,5158,8558,5258,2952,2344,R
77,91,18705,7358,4218,7082,2773,3667,2292,919,R
69,83,13936,5439,5207,14420,4304,1601,4133,1850,R
64,91,17329,10025,7962,34936,1324,3305,2350,1229,R
66,96,12316,5767,6908,10592,1754,4456,1067,1062,R
48,84,32753,22500,1524,9937,4256,2010,965,1216,R
88,63,7260,5111,7756,2077,2218,4672,1005,903,R
80,47,8248,17934,8328,2958,1171,3358,857,2931,R
90,69,5874,3221,7531,17040,6207,3140,2679,1420,R
70,83,15124,9897,11361,37973,3988,2880,1581,2356,R
26,80,15654,19894,3917,8964,13919,11007,1988,2792,L
24,77,4825,17137,2906,20513,3447,3776,2437,1370,L
17,77,6873,5858,5723,23111,2345,4387,1769,1309,L
1,100,24401,6321,22519,9270,3143,2963,4399,2539,L
1,100,75671,20704,14392,4126,5926,2988,2595,1794,L
1,67,101862,82359,3398,8170,6818,12669,5166,2363,L
8,50,8107,12199,6274,5006,1499,5088,1296,1424,L
3,29,171376,115629,7751,13719,12673,5212,884,806,L
3,26,168666,23235,5111,11218,7443,2618,4230,502,L
1,50,29754,24695,16663,10834,2574,3275,2982,2561,L
1,44,26922,30547,11747,3941,9443,5011,2269,1598,L
1,66,80100,34403,20359,27028,6566,5480,3865,2082,L
1,66,106102,41428,7200,13363,7276,3573,1290,5255,L
1,47,31751,52375,501,10689,6586,4876,1999,654,L
1,61,28304,19508,28529,8250,2106,2784,5132,1911,L
1,60,53094,19287,6178,18103,4493,3710,2458,1696,L
1,56,115195,48363,4662,13334,3993,5831,925,2369,L
1,78,33611,22996,12980,28520,9489,6419,1694,1171,L
4,63,68464,56110,22711,6952,5039,7416,2725,2821,L
13,63,55931,21473,10447,16296,4858,8738,4298,978,L
24,80,22907,7063,18606,5253,3859,6779,3127,1099,L
23,84,6507,12769,32490,4294,4072,4002,3441,1492,L
27,88,58389,17971,9914,11757,13531,5188,1269,791,L
11,100,30821,8682,26246,32382,3822,3469,1473,961,L
13,88,52169,30227,16312,7791,9682,12348,5955,2228,L
21,78,87153,19194,18015,14009,6208,7978,2953,2296,L
13,84,42402,8461,13789,11366,7526,2487,1184,1908,L
26,83,19557,3927,27134,5583,16236,7630,3589,1261,L
