attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,event
24,69,55334,64588,32022,29890,6868,6244,5348,3669,D
35,64,27496,24371,5272,2017,10247,7413,3822,2926,D
35,53,24936,56289,2531,27344,11179,10333,5142,1687,D
29,60,76190,62557,36705,32624,16194,4797,2502,792,D
29,38,356288,80926,4014,12070,1119,4772,1865,1469,D
21,54,500084,88984,21403,27815,5835,6106,3354,1054,D
23,66,24856,4659,2416,7150,3971,2893,2642,1580,D
24,75,73156,17340,10482,35561,7925,2434,2715,1305,D
27,84,56697,15099,14171,18369,2812,4590,1290,2421,D
17,70,261355,82558,5263,24464,3825,4237,1026,2417,D
20,38,116960,104804,14086,8202,4340,5545,1956,2882,D
20,57,628676,96311,35543,15259,3016,7168,5207,2880,D
14,27,1103429,107013,5382,20136,9705,6118,4176,4603,D
13,35,347870,82361,40811,579,5175,3235,2231,2952,D
16,60,39402,24783,19080,12575,3834,4182,3377,2392,D
14,66,33636,49403,13921,35454,6914,3581,1601,741,D
26,100,16121,24786,3136,45884,3910,6374,1093,2289,D
21,83,375143,188384,23772,22859,7059,7741,2685,2913,D
23,63,131052,141723,17822,17460,10058,9145,2559,1628,D
20,57,40942,27219,9921,12496,3140,2537,3032,940,D
11,56,36582,156961,48918,37283,9236,3159,3971,1514,D
14,84,220196,27271,49121,51355,3446,10689,3990,1462,D
16,88,154219,35933,29873,15783,8576,5990,3574,1682,D
14,88,1847536,116725,54378,44826,8877,7443,3242,4836,D
27,97,634045,20984,17559,26624,3854,7616,2527,1620,D
26,75,37834,56554,4074,26676,20025,5369,3431,1581,D
17,54,931157,237322,41642,10319,6088,4261,4182,1466,D
23,35,1064839,256259,23121,29371,29761,25691,3155,2491,D
14,4,34904,17019,841,11025,9264,2603,2361,1323,D
11,1,72280,170156,3466,3519,2153,1480,1181,687,D
7,1,528113,179446,15185,11106,14648,5956,4434,1068,D
14,35,52485,23982,18786,48584,5111,8858,3177,760,D
3,27,252902,359402,27034,16877,2917,4430,576,641,D
14,41,931223,305452,37572,16778,10328,20591,4684,2996,D
14,26,10056,64425,7871,6591,2118,9058,2090,782,D
20,23,144496,107203,2849,8393,3423,3084,904,337,D
17,21,1240299,315799,6813,35901,18528,17981,4114,1171,D
24,37,87906,25612,14615,21202,5104,3169,2253,1587,D
17,54,300214,49718,38550,47365,12881,5792,4797,2814,D
16,61,78850,184497,6156,29271,4287,4607,1328,1310,D
24,81,22454,14953,4626,18316,7756,7641,1730,709,D
29,69,23035,42197,15095,6130,5972,9501,2599,1352,D
35,51,32805,53207,5379,8332,3341,5880,2648,626,D
100,57,447389,40832,3317,6203,19882,17515,1940,830,D
74,53,187425,179863,16651,19695,31977,16823,3666,3389,D
63,53,1180967,156514,9996,67537,48864,21292,10793,3474,D
16,53,731156,61952,16412,5381,14635,6426,2522,996,D
24,47,83185,30103,3119,1323,2325,4666,494,190,D
10,17,917146,956904,28235,27629,47232,28448,16919,2009,D
4,29,606669,389298,39781,105659,16530,18687,8525,5928,D
29,91,503948,77650,15993,6513,15368,4063,2959,631,D
1,90,1787876,189258,71100,64327,14120,10337,6312,4353,D
3,70,452273,653655,39288,62951,46403,46707,7862,5371,D
1,63,915089,331922,26632,37261,18123,21448,6830,1183,D
10,27,377538,71390,7514,6688,2960,2918,653,383,D
1,27,1199595,112539,12508,6146,17375,4976,2383,2282,D
4,43,656786,123033,25547,34859,9877,12838,2918,444,D
3,74,141591,74132,10795,14014,14740,3878,1575,1038,D
1,63,265202,370394,39778,41434,10937,8470,5840,2222,D
13,51,1311189,57977,7264,12810,34655,31562,3447,1254,D
35,100,2433261,22653,24335,171409,77634,18653,8733,4634,D
20,74,1358511,603090,72064,71131,110481,30751,26336,9053,D
27,69,677506,66057,40386,9130,5807,8604,6507,867,D
10,60,336009,158843,16526,32171,20493,5226,1273,1576,D
24,38,1839842,784669,50215,101337,84239,78480,7847,4396,D
63,53,41720,2375,5657,2016,2504,3897,539,175,D
14,63,2507895,461132,192564,108066,94062,20527,25864,4639,D
27,66,1974752,924164,224863,127890,87684,88556,27483,4035,D
11,53,283682,162825,72415,6486,28148,9908,7381,4731,D
30,38,1725730,109586,2621,18403,9649,9426,5015,3838,D
26,41,58986,147914,15298,12191,22595,7540,10924,1427,D
37,40,2622782,678512,105341,143181,79160,85388,12763,3428,D
35,37,407241,148728,23070,46448,96158,22683,13487,3526,D
40,63,2727230,235152,232839,262485,105343,84790,7488,6563,D
50,84,132624,13539,11511,6643,2507,2913,445,191,D
57,88,561589,60156,23885,24541,26396,19193,4604,2111,D
66,93,2295662,240914,131334,20912,145444,63381,5668,2429,D
43,67,164202,141587,15032,13953,10794,3650,2710,706,D
35,50,901537,100422,13210,12169,13796,6612,1664,488,D
24,57,706278,37251,15932,45760,33207,7725,2569,859,D
8,56,1915849,394541,58984,73678,48872,29108,6769,1950,D
30,53,2613556,566981,71550,79641,341208,86243,38326,13199,D
