attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
30,17,240921,70927,14825,7641,7218,13838,3081,2820
30,30,1703725,525024,102463,57957,54624,16770,10209,2030
30,30,1640194,20012,48784,2526,7064,6677,1891,403
14,13,562684,190324,8408,7261,3522,2568,489,572
3,24,138238,15438,3807,13395,4782,1454,1135,109
1,26,91899,73661,4913,15349,4790,2154,2467,658
7,43,346398,22088,24042,18836,14137,3535,1400,587
40,64,1010618,14167,6111,9846,9179,5695,1817,775
43,64,166067,25322,9317,18474,3196,2829,2116,2277
41,70,347979,25204,3943,8868,3744,792,945,203
27,48,1352478,487150,55893,27178,10580,11894,5920,4362
3,53,707457,21844,9455,11855,5244,1090,1205,339
13,34,506609,89598,7085,8254,5808,2217,447,416
21,30,913380,229571,17572,23205,22620,12232,14746,2777
35,3,340579,37075,2096,787,14729,3059,1969,525
10,17,962809,119158,130151,91327,23631,5485,6296,1554
17,41,465725,26499,19045,13818,2010,2329,1875,1190
14,75,72033,27854,5173,2113,1960,1399,271,180
40,51,746570,70288,5078,10486,15625,10006,1225,1116
37,40,1371239,442137,97230,104164,94856,19174,9757,7732
38,48,783527,37677,49950,42099,47297,9328,1590,954
27,50,155160,80871,15934,7171,6911,1787,1384,414
8,50,765083,393075,24675,56794,21015,12169,3837,1895
4,29,1003382,438873,3063,23846,12333,11356,3818,4087
10,16,1112683,51272,7887,13378,9920,7588,1227,632
17,1,226723,269962,7454,15371,25793,8627,3616,1345
41,10,715002,28582,2964,12267,9648,6543,1280,810
54,29,109420,33726,12138,2907,4410,3455,1362,736
53,26,1193929,67907,3921,17931,15379,7408,3121,2056
70,43,1238059,196110,42460,37251,10851,38564,6449,2935
48,38,393741,66560,10252,6319,7203,1974,863,750
30,41,411003,109022,30930,33591,12356,3372,464,935
16,57,946678,62604,65950,7842,6445,3409,995,454
13,77,20284,4928,5156,10717,2769,2106,1615,903
13,69,738507,189582,13883,108564,8744,2877,4121,1659
1,67,228127,22275,22764,20254,6535,2234,1272,721
1,60,187911,64418,3180,4097,1372,1246,736,283
1,50,652289,134122,17048,18125,9151,4732,5102,2033
10,27,464466,356754,8024,21530,50872,7853,6581,2240
13,1,145467,144135,4945,15046,9878,8087,3593,2383
10,8,908732,378987,54326,25269,13528,5888,4326,1837
14,14,355633,46807,8524,18767,11382,3552,2179,1007
35,29,1162516,61851,28837,8244,54445,13271,4252,4884
38,37,654686,39068,2097,7987,3807,3216,1980,822
50,40,272290,39477,7205,4078,2631,1788,760,209
35,40,687392,380366,100620,49128,14896,7041,2174,1462
35,47,1694094,48022,17513,24736,8434,12807,905,438
14,41,687458,474383,42064,23168,4997,5718,3029,1254
7,40,688632,240661,41548,29176,49738,4923,2551,1710
14,21,199071,165392,4961,8130,4301,4906,2086,383
1,1,476081,357648,10297,8648,13244,6919,2489,1714
1,1,219070,61649,3342,4901,2028,1607,696,428
14,1,812660,339024,40633,54299,8965,21353,4111,1061
14,1,711279,141412,3527,11725,3519,4142,3065,841
30,30,44747,20228,34811,4163,10195,5434,3593,1401
