attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
11,17,447960,684465,49554,19579,46430,8743,3176,2049
1,16,592841,196619,37943,35870,18767,2668,3341,2025
7,16,532926,46548,4802,13580,8236,4764,3185,3357
3,27,60956,67533,28621,13906,4452,5548,7973,2059
11,63,201599,41935,14520,45175,13257,4367,2324,1342
14,64,858416,221815,82159,19449,26675,5572,6921,1643
10,61,142695,56930,9070,8461,6248,3045,4450,4438
10,70,193917,51996,49454,23671,6732,6644,3464,2698
10,50,249903,37837,2177,6042,1315,1697,1023,303
21,61,55214,30797,5809,28436,4580,8731,2466,2199
24,74,59551,15081,8076,2601,1918,1911,1604,577
24,69,55334,64588,32022,29890,6868,6244,5348,3669
35,64,27496,24371,5272,2017,10247,7413,3822,2926
35,53,24936,56289,2531,27344,11179,10333,5142,1687
29,60,76190,62557,36705,32624,16194,4797,2502,792
29,38,356288,80926,4014,12070,1119,4772,1865,1469
21,54,500084,88984,21403,27815,5835,6106,3354,1054
23,66,24856,4659,2416,7150,3971,2893,2642,1580
24,75,73156,17340,10482,35561,7925,2434,2715,1305
27,84,56697,15099,14171,18369,2812,4590,1290,2421
17,70,261355,82558,5263,24464,3825,4237,1026,2417
20,38,116960,104804,14086,8202,4340,5545,1956,2882
20,57,628676,96311,35543,15259,3016,7168,5207,2880
14,27,1103429,107013,5382,20136,9705,6118,4176,4603
13,35,347870,82361,40811,579,5175,3235,2231,2952
16,60,39402,24783,19080,12575,3834,4182,3377,2392
14,66,33636,49403,13921,35454,6914,3581,1601,741
26,100,16121,24786,3136,45884,3910,6374,1093,2289
21,83,375143,188384,23772,22859,7059,7741,2685,2913
23,63,131052,141723,17822,17460,10058,9145,2559,1628
20,57,40942,27219,9921,12496,3140,2537,3032,940
11,56,36582,156961,48918,37283,9236,3159,3971,1514
14,84,220196,27271,49121,51355,3446,10689,3990,1462
16,88,154219,35933,29873,15783,8576,5990,3574,1682
14,88,1847536,116725,54378,44826,8877,7443,3242,4836
27,97,634045,20984,17559,26624,3854,7616,2527,1620
26,75,37834,56554,4074,26676,20025,5369,3431,1581
17,54,931157,237322,41642,10319,6088,4261,4182,1466
23,35,1064839,256259,23121,29371,29761,25691,3155,2491
14,4,34904,17019,841,11025,9264,2603,2361,1323
11,1,72280,170156,3466,3519,2153,1480,1181,687
7,1,528113,179446,15185,11106,14648,5956,4434,1068
14,35,52485,23982,18786,48584,5111,8858,3177,760
3,27,252902,359402,27034,16877,2917,4430,576,641
14,41,931223,305452,37572,16778,10328,20591,4684,2996
14,26,10056,64425,7871,6591,2118,9058,2090,782
20,23,144496,107203,2849,8393,3423,3084,904,337
17,21,1240299,315799,6813,35901,18528,17981,4114,1171
24,37,87906,25612,14615,21202,5104,3169,2253,1587
17,54,300214,49718,38550,47365,12881,5792,4797,2814
16,61,78850,184497,6156,29271,4287,4607,1328,1310
24,81,22454,14953,4626,18316,7756,7641,1730,709
29,69,23035,42197,15095,6130,5972,9501,2599,1352
35,51,32805,53207,5379,8332,3341,5880,2648,626
